280054,-0.08478826,4.22
410058,-0.12705515,4.21
540063,-0.16934013,4.21
670067,-0.21155283,4.20
800073,-0.25380296,4.20
930077,-0.29599027,4.19
1060083,-0.33824000,4.19
1190087,-0.38043582,4.18
1320092,-0.42268605,4.18
1450097,-0.46488914,4.17
1580102,-0.50714788,4.17
1710106,-0.54939932,4.16
1840111,-0.59167022,4.16
1970118,-0.63392920,4.16
2100126,-0.66833405,4.15
2230131,-0.71063618,4.15
2360138,-0.75296268,4.15
2490143,-0.79525508,4.14
2620149,-0.83750400,4.14
2750154,-0.87979564,4.13
2880160,-0.92208747,4.13
3010165,-0.96441421,4.13
3140170,-1.00670266,4.12
3270175,-1.04906189,4.12
3400181,-1.09137641,4.11
3530186,-1.13374018,4.11
3660192,-1.17608785,4.10
3790197,-1.21848869,4.10
3920201,-1.26084434,4.10
4050207,-1.30324482,4.09
4180212,-1.34567785,4.09
4310220,-1.38811004,4.08
4440224,-1.43054828,4.08
4570230,-1.47298693,4.08
4700237,-1.51543259,4.07
4830244,-1.55781707,4.07
4960250,-1.60029783,4.07
5090254,-1.64265322,4.06
5220262,-1.68512940,4.06
5350272,-1.72757062,4.05
5480278,-1.77007246,4.05
5610287,-1.81254653,4.05
5740295,-1.85505628,4.04
5870299,-1.89755096,4.04
6000310,-1.94010362,4.04
6130315,-1.98264513,4.03
6260324,-2.02521038,4.03
6390330,-2.06774783,4.02
6520338,-2.11032438,4.02
6650344,-2.15288352,4.02
6780348,-2.19549489,4.01
6910354,-2.23805689,4.01
7040360,-2.28069758,4.01
7170364,-2.32325816,4.00
7300376,-2.36591482,4.00
7430380,-2.40855741,3.99
7560384,-2.45125889,3.99
7690389,-2.49395704,3.99
7820394,-2.53661251,3.98
7950399,-2.57930016,3.98
8080406,-2.62196493,3.98
8210414,-2.66466331,3.97
8340418,-2.70732474,3.97
8470422,-2.75005745,3.96
8600428,-2.79278707,3.96
8730435,-2.83550310,3.96
8860439,-2.87823562,3.96
8990447,-2.92095327,3.95
9120451,-2.96374511,3.95
9250456,-3.00655817,3.94
9380463,-3.04932332,3.94
9510469,-3.09212684,3.94
9640477,-3.13494038,3.94
9770487,-3.17779326,3.93
9900492,-3.22063136,3.93
10030499,-3.26352715,3.92
10160504,-3.30636286,3.92
10290511,-3.34925770,3.92
10420516,-3.39218020,3.91
10550524,-3.43498373,3.91
10680530,-3.47791457,3.91
10810539,-3.52078914,3.90
10940553,-3.56371688,3.90
11070559,-3.60660910,3.90
11200566,-3.64955306,3.89
11330571,-3.69243621,3.89
11460575,-3.73540711,3.89
11590583,-3.77840590,3.88
11720589,-3.82135486,3.88
11850593,-3.86432409,3.88
11980599,-3.90718288,3.87
12110606,-3.95012426,3.87
12240610,-3.99307613,3.86
12370616,-4.03608465,3.86
12500622,-4.07915449,3.86
12630628,-4.12220144,3.85
12760634,-4.16522026,3.85
12890638,-4.20823764,3.85
13020645,-4.25125741,3.84
13150650,-4.29431486,3.84
13280655,-4.33739089,3.84
13410660,-4.38052749,3.83
13540666,-4.42364501,3.83
13670675,-4.46681690,3.83
13800682,-4.50994968,3.82
13930687,-4.55309152,3.82
14060693,-4.59629535,3.82
14190697,-4.63945436,3.81
14320701,-4.68265867,3.81
14450705,-4.72582674,3.80
14580710,-4.76903247,3.80
14710714,-4.81226682,3.80
14840719,-4.85537719,3.79
14970729,-4.89860200,3.79
15100736,-4.94178438,3.79
15230743,-4.98501157,3.78
15360749,-5.02819490,3.78
15490753,-5.07142496,3.78
15620761,-5.11463737,3.77
15750769,-5.15782690,3.77
15880774,-5.20106792,3.76
16010782,-5.24426984,3.76
16140786,-5.28751420,3.76
16270791,-5.33078241,3.76
16400798,-5.37400865,3.75
16530803,-5.41728973,3.75
16660807,-5.46047258,3.75
16790812,-5.50372648,3.74
16920818,-5.54699373,3.74
17050826,-5.59020566,3.74
17180831,-5.63345575,3.74
17310835,-5.67666769,3.73
17440842,-5.71992731,3.73
17570846,-5.76321554,3.73
17700850,-5.80645179,3.72
17830855,-5.84973859,3.72
17960859,-5.89299011,3.72
18090863,-5.93629884,3.72
18220870,-5.97961568,3.71
18350875,-6.02289247,3.71
18480882,-6.06623029,3.71
18610886,-6.10952091,3.71
18740890,-6.15290021,3.71
18870894,-6.19616127,3.70
19000898,-6.23936367,3.70
19130905,-6.28268098,3.70
19260909,-6.32597589,3.70
19390913,-6.36932182,3.69
19520917,-6.41269874,3.69
19650922,-6.45597934,3.69
19780928,-6.49938392,3.69
19910935,-6.54281425,3.69
20040941,-6.58617067,3.68
20170949,-6.62958669,3.68
20300954,-6.67296600,3.68
20430964,-6.71642017,3.68
20560971,-6.75982141,3.68
20690976,-6.80332326,3.68
20820982,-6.84685516,3.67
20950990,-6.89031744,3.67
21080996,-6.93383264,3.67
21211001,-6.97731685,3.67
21341008,-7.02084112,3.67
21471012,-7.06429624,3.66
21601017,-7.10779428,3.66
21731024,-7.15131998,3.66
21861031,-7.19475317,3.66
21991036,-7.23824834,3.66
22121042,-7.28169918,3.66
22251049,-7.32522726,3.66
22381054,-7.36877346,3.66
22511060,-7.41224431,3.65
22641068,-7.45576763,3.65
22771073,-7.49927997,3.65
22901081,-7.54284906,3.65
23031087,-7.58641719,3.65
23161094,-7.62973642,3.65
23291098,-7.67324972,3.65
23421103,-7.71677589,3.65
23551111,-7.76033782,3.64
23681117,-7.80390119,3.64
23811124,-7.84741830,3.64
23941135,-7.89099931,3.64
24071141,-7.93452262,3.64
24201145,-7.97800207,3.64
24331150,-8.02155876,3.64
24461158,-8.06504726,3.64
